Название;Сайт;Почта;Номер телефона;Адрес;Руководитель;Город
Юридическое агентство ;аскеров-сс.рф;askerov-ss@mail.ru;79 280 640 088;г. Дербент, ул. Гейдара Алиева, д. 3;Аскеров Салман Седретдинович;Дербент  
"Юридическое агентство ""ПрофессионалЪ"" ";;;;;;Магнитогорск  
Юридическая контора СТАТУС ;https://juristvtule.ru;status-uk@yandex.ru;74872303645;Тула, Красноармейский проспект, д 29;;Тула  
«ЮРКОРПУС» ;http://jurcorpus.com/teams/;assistant@in-root.ru;79 219 033 055;Красуцкого, д. 4А, лит А;Шаварова Анастасия Анатольевна;Санкт-Петербург
ПРАВОВАЯ ГРУППА ЛЮБИЧ И ПАРТНЕРЫ ;;;;Белово, Ул. Ленина, 22;;
Центр оформления недвижимости ;expert-kaluga.ru;con-kaluga@mail.ru;84 842 596 119;г. Калуга, ул. Первомайская, д. 6, офис 119;Сидоров Сергей Сергеевич;Калуга  
ООО Перфетто ;;;89202166077;394018, Воронежская область, город Воронеж, улица Куколкина, дом 11, офис 67 н;;Воронеж  
РусЮрист ;www.rus-yurist.ru;rusyurist@gmail.com;8632000275;344029, Ростов на Дону, проспект Сельмаш, 90а/17б, офис 201;;Ростов-на-Дону  
"Правовой центр ""5 ЮРИСТОВ"" ";https://5yuristov.ru/;yuristi30@yandex.ru;89275877719;Г. Астрахань, ул. Красная Набережная 19 (со стороны набережной);;Астрахань  
"ООО Юридический Центр ""Факел"" ";;;;;;Ростов-на-Дону  
Кредитно-Страховой Дом ;мцнн.рф;ksd-nn@mail.ru;89 200 181 888;Нижний Новгород, проспект Ленина 85;Кошелев Николай;Нижний Новгород  
Ай Юрист ;http://aiyurist.ru/;aiyurist2017@yandex.ru;89180999828;г. Краснодар  ул. 40 Лет Победы 34 ТОЦ Оскар 7 этаж офис 708;Михайлов Александр Александрович;Краснодар  
"Центр правовых услуг ""Аванта"" ";avanta-pravo.ru;avanta.pravo@mail.ru;88 512 545 354;г. Астрахань, ул. Татищева, 19;Ломакин Дмитрий Михайлович;Астрахань  
КМК ;https://www.kmklegal.ru/;kmk@kmklegal.ru;;+7(495) 48-08-367;Кипкеев Станислав;Москва
"""АЛЬФА"" (ООО) ";www.belzakon.ru;info@belzakon.ru;79 092 061 818;г. Белгород, Народный бульвар, д. 79, оф. 306;;Белгород  
Башпротек ;;b-protek@yandex.ru;73472907400;г. Уфа, ул. 8 Марта, 12/2;;Уфа
Золотой Век ООО ;;gold7997@mail.ru;8 432 555 132;г. Казань, ул. Бутлерова 54а;Шамратова Лилия Ильдаровна;Казань
ПервыйАрбитражный Третейский Суд ;www.treteiskiy-sud.ru;bryansk-ofice@treteiskiy-sud.ru;4 832 307 530;г. Брянск, ул. Бежицкая, д. 286, корп. 1, оф. 108;Костомаркина Яна Викторовна;Брянск
Объединенная консалтинговая группа ;;;;;;Санкт-Петербург
Картель ;;;;;;Саратов  
"ООО ""Консалт - ЛТД"" ";consult-ltd   www.consult-ltd.ru;info@consult-ltd.ru;84951814888;г. Москва, улица Нагатинская дом 22 корпус 1;;Москва
Коллегия адвокатов СК Бондяков и партнеры ;https://помощь-адвоката.рф;;;;;Ставрополь  
ООО Миг Банкрот ;mig-bankrot.ru;;79656523622;г.Уфа, Менделеева 130;Аминева Венера Габитовна;Уфа
"ООО ""ВАЛЕРИ"" ";www.valeri.kirv.ru;valeri-kirov@mail.ru;89 127 348 676;610037 г. Киров, ул. Солнечная, 45;;Киров
Юридические услуги в Краснодаре ;юридические-услуги-краснодар.рф;yurist_krd@bk.ru;79898502007;г. Краснодар, ул. Северная, 443, оф. 321;Мальцев Валерий Иванович;Краснодар  
"Юридическое агентство ""Алхазов и партнёры"" ";https://www.jurist-alkhazov.ru/;jurist-alkhazov@mail.ru;79 283 333 803;г. Краснодар, ул. Калинина 341, офис 6;Яков Николаевич Алхазов;Краснодар  
"ООО ЮК ""Лига-М"" ";;liga-m@mail.ru;89613718077;ул.Айская, 46;Мансуров Ренат Нуриахметович;Уфа
Севастопольский юридический центр ;https://sevcenter-law.com;sevcenter.law@mail.ru;"+7 978 7153797; +7 978 0289695";ул. Генерала Петрова, 12 (напротив Центрального ЗАГСа) или пр-т Героев   Сталинграда, 52;Сабат Виктор Владимирович;Севастополь  
Агентство права Интеллект Легал ;www.inleg.ru;inlegal@mail.ru;849522 33 540;127006,Москва,Долгоруковская 23 А стр.1 оф.107;Зуев М.С.;Москва
Консалтинговая Группа «ЛАЛ» ;www.uca-74.ru;info@uca-74.ru;83 512 147 667;г. Челябинск, пр. Ленина, 21-в (БД «Спиридонов»), оф. 713;Директор: ГусерМакс Алексеевич;Челябинск  
ФЛСЭ-Уфа ;;flsufa@mail.ru;+7 347 289 90 59;г.Уфа ул.Ленина 99 офис 6;Чезганов Максим Михайлович;Уфа
"""АВРОРА"" (ООО) ";http://orel57.ru;761651@mail.ru;+7 920 810 56 26;г. Орел, ул. Максима Горького, д. 44, оф. 155;;Орёл  
ООО Джудекс ;judex.ru;judex.chita@mail.ru;79248091198;Забайкальский край, Чита, ул. Курнатовского, 25, вход 2, этаж 3, офис 11;;Чита
ООО «ЦЕНТОРИУМ» ;;;;;;Москва
"ООО ""Право и Защита"" ";;adviser_1@mail.ru;506894, 995554;Тюмень, ул. Герцена, 96, оф.1;Элькис.Е.В.;Тюмень  
Портал бесплатной юридической консультации ;konsultiruet-yurist.ru;;;;;Москва
Юридическая студия права ;www.uspravo.ru;feedback@uspravo.ru;89647187029;Москва;Аверкиев П.А.;Москва
агентство  Контакт ;http://контактправо.рф/;Ahill.09@mail.ru;89525890464;"Ростов-на-Дону пр.Нагибина 14""а"" оф.202";Аракелов Л.Э.;Ростов-на-Дону  
Альтернатива ;alternativaoren.ru;alternativaoren@mail.ru;88001017787;Туркестанская, 5, офис 212, 2 этаж;Курлаев Сергей Николаевич;Оренбург  
"ООО ""БИЛЛИОН"" ";http://www.billion.chebr.ru;378180@mail.ru;79276678180;г.Чебоксары, ул.Нижегородская, д. 4, помещение 7;Алексеев Николай Кенсоринович;Чебоксары  
Челокиди Людмила Ивановна ;;attornei@mail.ru;89184329011;г. Краснодар;Челокиди Людмила Ивановна;Краснодар  
Адвокат Матвеев Сергей Вячеславович ;https://advokat-matveev.ru/;;89 196 002 060;г. Уфа, ул. Коммунистическая, д. 85;Матвеев Сергей Вячеславович;Уфа
UP-Group ;http://uppartner.ru;Info@up-group.su;74 862 303 900;302028, г. Орел, ул. Салтыкова-Щедрина, д.35б;Шевляков В.В.;Орёл  
«Юридическое агентство «СРВ» ;http://asrv.ru/;asrv@bk.ru;+7 8652 244747, 350408;г. Ставрополь, ул. Мира, 319;Савичев Роман Валерьевич;Ставрополь  
КОРСА ;www.korsa-irk.ru;;;;;Иркутск  
ЮрКонсульт ;;;;;;Кострома  
BEBRAND ;;;;;;Хабаровск  
Департамент Судебных Экспертиз ;http://jurcom.ru;jurcom.ru@jurcom.ru;88 452 491 221;Саратов, ул.Слонова, д.22/26;;Саратов  
АКТОР ;www.actor96.ru;actor96@yandex.ru;89222154651;Гагарина 97, офис 3 (второй этаж);Денис Васильевич;Первоуральск  
EX LEGIS - ;http://ex-legis.ru;info@ex-legis.ru;79 508 287 505;123317, г. Москва, Пресненская набережная (Москва-Сити), д. 6 стр. 2 (Империя-Тауэр), офис 431;Свирин Сергей Игоревич;Москва
Авангард ;;;;;;Пермь  
БРОО Защита прав потребителя ;защита-прав.su;broo.zpp@list.ru;73012584866;Улан-Удэ;Цыбиков С- С. П.;Улан-Удэ  
ЮКОН ;ufaregistrator@yandex.ru;ufaregistrator@yandex.ru;347 2984490, 89177558357;г. Уфа, ул. Свердлова, д. 98;;Уфа
ИП Заяев Ншан Анатольевич ;;pravo-26@mail.ru;"+79054458818; +79888657353";Ставрополь, ул. Гражданская, 11 офис 9;;Ставрополь  
"Юридическая компани ""Т-Сервис"" ";https://t-service58.ru/;t-service58@yandex.ru;;г. Пенза, ул. 8 марта, д. 13 (2 этаж);Столяров Сергей Владимирович;Пенза  
Новокузнецкий центр экспертиз ;http://www.center-expertiz.ru;nvkzcentrekspertiz@mail.ru;3843 322202, 89131375243;654007 Кемеровская обл., г. Новокузнецк пр-кт Ермакова, 1 офис 331;Сергеева Елена Геннадьевна;Новокузнецк  
"ЮК ""Юристы К2"" ";a8910741   http://k2zakon.ru/;office@k2zakon.ru;79581110930;г.Белгород, ул.Свободная, 50, оф.408-411;Кудинов Николай Сергеевич;Белгород  
ИМПЕРИЯ-АВ ;Северная 490;75674@bk.ru;89883888420;Северная 490;Ячменева Александра Валерьевна;Краснодар  
"ООО ""ТЕРГА"" ";http://www.terga.info;mail@terga.info;78 124 145 431;г. Пушкин, улица Глинки 16/8, офис 8;Завистовская Ю.В.;Санкт-Петербург
"ООО ""ПРАВОЗАЩИТНИК"" ";;;;;;Белгород  
FEDERAL ;Rusfederal.ru;federal@rusfederal.ru;88002015919;350063, г. Краснодар, ул. Кирова;Криворученко Станислав Валентинович;Москва
Приоритет ;www.dvprioritet.ru;dvprioritet@mail.ru;84212205028, 777015;г. Хабаровск, ул. Владивостокская, д. 22, оф. 7;Бражников Максим Юрьевич;Хабаровск  
"""Юрвиста"" ";;;;;;Москва
Адвокаты высшей лиги ;;;;;;Санкт-Петербург
